0 0,0 0,0 0,0
100 0,0007978200912475586 0,0004986763000488281 0,00019962787628173827
200 0,0029920101165771484 0,001794719696044922 0,0008978605270385742
300 0,006782102584838867 0,0039890527725219725 0,001994776725769043
400 0,01236896514892578 0,007280468940734863 0,0033898353576660156
500 0,0197479248046875 0,012367033958435058 0,005784749984741211
600 0,029319024085998534 0,01735689640045166 0,008277344703674316
700 0,03999319076538086 0,023935222625732423 0,011270356178283692
800 0,05535202026367188 0,03231048583984375 0,014863061904907226
900 0,06981291770935058 0,04118978977203369 0,019148802757263182
1000 0,0840749979019165 0,052359390258789065 0,024933600425720216
1100 0,10412414073944092 0,062432360649108884 0,028224468231201172
1200 0,12247231006622314 0,07450082302093505 0,03410859107971191
1300 0,14600963592529298 0,08975963592529297 0,041286802291870116
1400 0,1703421115875244 0,10292468070983887 0,047475361824035646
1500 0,19597527980804444 0,11738545894622802 0,05375583171844482
1600 0,22041049003601074 0,1340412139892578 0,061435699462890625
1700 0,2577110052108765 0,15099599361419677 0,06891543865203857
1800 0,29022400379180907 0,18739490509033202 0,08397541046142579
1900 0,35126044750213625 0,21243155002593994 0,09614295959472656
2000 0,3988330364227295 0,2304837465286255 0,11110281944274902
2100 0,4110004663467407 0,24754023551940918 0,11110272407531738
2200 0,44241397380828856 0,2637943267822266 0,11788716316223144
2300 0,4707396745681763 0,29201617240905764 0,13573946952819824
2400 0,5127283811569214 0,3167551517486572 0,14371061325073242
2500 0,5653869390487671 0,3460761785507202 0,1536867618560791
2600 0,6086717844009399 0,36781504154205324 0,1631641387939453
2700 0,6513571977615357 0,39384620189666747 0,17792413234710694
2800 0,6901543378829956 0,42935283184051515 0,19108870029449462
2900 0,7399231433868408 0,4534876823425293 0,20365569591522217
3000 0,7949730396270752 0,4902883291244507 0,21861519813537597
