0 0,0 0,0 0,0
100 0,0013967275619506836 0,0005984306335449219 0,0003989219665527344
200 0,005285406112670898 0,002293848991394043 0,001695394515991211
300 0,011968541145324706 0,005385804176330567 0,0035897254943847655
400 0,0212430477142334 0,00987381935119629 0,00668187141418457
500 0,03341054916381836 0,016057085990905762 0,01066889762878418
600 0,050664544105529785 0,024935603141784668 0,016356420516967774
700 0,06821482181549073 0,03341062068939209 0,02154238224029541
800 0,08906435966491699 0,0455780029296875 0,0289201021194458
900 0,11190321445465087 0,0583442211151123 0,036202502250671384
1000 0,13633532524108888 0,07420189380645752 0,04617562294006348
1100 0,16804847717285157 0,08926115036010743 0,05475568771362305
1200 0,1999657392501831 0,10811102390289307 0,06652116775512695
1300 0,2352680206298828 0,1265615463256836 0,07779457569122314
1400 0,27228388786315916 0,14775261878967286 0,09068400859832763
1500 0,3104857444763184 0,17614996433258057 0,10564396381378174
1600 0,3559279918670654 0,20185749530792235 0,12087955474853515
1700 0,40367846488952636 0,22862837314605713 0,13491542339324952
1800 0,448337984085083 0,25339016914367674 0,1492004156112671
1900 0,4952751398086548 0,28723156452178955 0,1668534517288208
2000 0,5535278797149659 0,3153563976287842 0,1897951602935791
2100 0,6144588232040405 0,3477696418762207 0,20814046859741211
2200 0,674395489692688 0,3877647876739502 0,22758910655975342
2300 0,7253570079803466 0,42895510196685793 0,2471388816833496
2400 0,7967701196670532 0,45967285633087157 0,27416386604309084
2500 0,8680802822113037 0,5068415403366089 0,2951135396957397
2600 0,9283148527145386 0,5431445121765137 0,3140572071075439
2700 0,9982319116592407 0,5852372646331787 0,3450738191604614
2800 1,0839028835296631 0,6264245986938477 0,3653229236602783
2900 1,1477292776107788 0,6734982013702393 0,39225053787231445
3000 1,231710433959961 0,722765588760376 0,42127556800842286
